0.0	7.15696
0.5	6.85018
1.0	6.37295
1.5	5.92389
2.0	5.45488
2.5	5.10518
3.0	4.73179
3.5	4.27443
4.0	3.7446
4.5	3.49183
5.0	3.26695
5.5	3.20728
6.0	3.144
6.5	2.85993
7.0	2.63498
7.5	2.58987
8.0	2.57761
8.5	2.55416
9.0	2.58535
9.5	2.61952
10.0	2.68923
10.5	2.68939
11.0	2.6729
11.5	2.67579
12.0	2.64861
12.5	2.70172
13.0	2.64183
13.5	2.50442
14.0	2.47742
14.5	2.43258
15.0	2.38815
15.5	2.32004
16.0	2.2574
16.5	2.39252
17.0	2.36867
17.5	2.19275
18.0	2.1578
18.5	2.10125
19.0	2.10213
19.5	2.03153
20.0	2.08195
