0.0	7.15696
0.5	6.57587
1.0	5.93266
1.5	4.99276
2.0	4.2721
2.5	3.22603
3.0	2.53835
3.5	2.05779
4.0	1.63767
4.5	1.5046
5.0	1.2979
5.5	1.22399
6.0	1.12887
6.5	0.961166
7.0	0.779569
7.5	0.678257
8.0	0.591702
8.5	0.594359
9.0	0.604843
9.5	0.584662
10.0	0.575453
10.5	0.574197
11.0	0.617533
11.5	0.614108
12.0	0.579081
12.5	0.569324
13.0	0.561611
13.5	0.599158
14.0	0.562978
14.5	0.568331
15.0	0.579938
15.5	0.550037
16.0	0.581459
16.5	0.540945
17.0	0.565631
17.5	0.555358
18.0	0.553802
18.5	0.559102
19.0	0.560981
19.5	0.553512
20.0	0.563407
