0.0	7.15696
0.5	6.85861
1.0	6.4038
1.5	5.85608
2.0	5.30199
2.5	4.45119
3.0	3.79033
3.5	3.00143
4.0	2.42418
4.5	1.98288
5.0	1.53909
5.5	1.26908
6.0	0.983356
6.5	0.730012
7.0	0.701781
7.5	0.607928
8.0	0.596297
8.5	0.588744
9.0	0.585091
9.5	0.601519
10.0	0.581111
10.5	0.548409
11.0	0.551963
11.5	0.560399
12.0	0.573538
12.5	0.566313
13.0	0.554671
13.5	0.559685
14.0	0.535591
14.5	0.559468
15.0	0.592779
15.5	0.531247
16.0	0.533458
16.5	0.562927
17.0	0.588865
17.5	0.592815
18.0	0.54577
18.5	0.531074
19.0	0.52664
19.5	0.522676
20.0	0.547803
